what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1321127376832
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1321127376834
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1321127376834
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1321127376834
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1321127376834
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1321127376834
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1321127376834
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1321127376835
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1321127376835
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1321127376835
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1321127376835
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1321127376835
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1321127376835
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1321127376835
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1321127376835
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1321127376836
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1321127376837
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1321127376837
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1321127376837
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1321127376837
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1321127376837
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1321127376837
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1321127376837
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321127376839
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1321127376839
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321127376839
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1321127376840
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1321127376840
os,sysinfo,,,"win32",1321127376853
arch,sysinfo,,,"x86_64",1321127376853
ws,sysinfo,,,"win32",1321127376853
locale,sysinfo,,,"en_US",1321127376853
processors,sysinfo,,,"2",1321127376853
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1321127376853
java.runtime.version,sysinfo,,,"1.7.0-b147",1321127376853
java.specification.name,sysinfo,,,"Java Platform API Specification",1321127376853
java.specification.vendor,sysinfo,,,"Oracle Corporation",1321127376853
java.specification.version,sysinfo,,,"1.7",1321127376853
java.vendor,sysinfo,,,"Oracle Corporation",1321127376853
java.version,sysinfo,,,"1.7.0",1321127376853
java.vm.info,sysinfo,,,"mixed mode",1321127376853
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1321127376853
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321127376853
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1321127376853
java.vm.specification.version,sysinfo,,,"1.7",1321127376853
java.vm.vendor,sysinfo,,,"Oracle Corporation",1321127376853
java.vm.version,sysinfo,,,"21.0-b17",1321127376853
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1321127376865
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1321127377318
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1321127377574
started,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1321127377578
started,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1321127377619
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1321127377690
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1321127377710
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1321127377716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321127378154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321127690980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321127694261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321127706155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321127710082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321128684595
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1321128684646
